name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;91;0;308;3075;1592;3075;1430;0
header;78;160;78;195;1718;195;1718;160
A;899;232;899;260;921;260;921;232
B;214;511;214;526;223;526;223;511
B;680;689;680;705;702;705;702;689
B;896;910;896;939;918;939;918;910
B;1098;1019;1098;1034;1107;1034;1107;1019
D;489;1159;489;1175;498;1175;498;1159
B;197;1204;197;1219;207;1219;207;1204
C;894;1581;894;1611;916;1611;916;1581
D;868;1620;868;1635;875;1635;875;1620
B;429;1757;429;1773;438;1773;438;1757
B;799;1801;799;1820;814;1820;814;1801
A;599;1804;599;1819;607;1819;607;1804
A;577;1850;577;1866;585;1866;585;1850
B;1138;1939;1138;1958;1153;1958;1153;1939
D;892;2251;892;2278;914;2278;914;2251
B;717;2720;717;2735;726;2735;726;2720
A;447;2903;447;2930;457;2930;457;2903
A;406;2904;406;2921;428;2921;428;2904
