name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;506;0;529;3081;1012;3081;1035;0
header;202;215;202;248;1824;248;1824;215
A;999;281;999;309;1020;309;1020;281
A;526;514;526;530;535;530;535;514
B;992;1091;992;1118;1012;1118;1012;1091
B;966;1141;966;1159;975;1159;975;1141
A;838;1464;838;1480;846;1480;846;1464
A;768;1648;768;1664;776;1664;776;1648
C;986;1667;986;1695;1007;1695;1007;1667
A;582;2043;582;2058;590;2058;590;2043
A;775;2240;775;2251;782;2251;782;2240
D;984;2305;984;2334;1007;2334;1007;2305
B;560;2551;560;2566;579;2566;579;2551
B;919;2551;919;2567;940;2567;940;2551
A;566;2892;566;2909;571;2909;571;2892
C;780;2892;780;2909;802;2909;802;2892
A;703;2963;703;2966;706;2966;706;2963
A;702;2975;702;2980;707;2980;707;2975
